Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,27,Maharashtra,2019,RAW COAL,SPONGE IRON,620000
India,21,Odisha,2019,RAW COAL,OTHER,13817000
India,28,Andhra Pradesh,2011,RAW COAL,CHEMICAL,167589.0881
India,21,Odisha,2020,RAW COAL,OTHER,13403000
India,28,Andhra Pradesh,2011,WASHED COAL,POWER (CAPTIVE),23595.57558
India,21,Odisha,2020,RAW COAL,SPONGE IRON,2994000
India,28,Andhra Pradesh,2014,RAW COAL,OTHER,1921526.873
India,22,Chhattisgarh,2012,RAW COAL,POWER (UTILITY),34365000
India,28,Andhra Pradesh,2014,RAW COAL,POWER (UTILITY),27254704.84
India,22,Chhattisgarh,2013,RAW COAL,METALLURGICAL USE- COKERIES,203000
India,28,Andhra Pradesh,2014,RAW COAL,TEXTILES & RAYONS,8470.206618
India,22,Chhattisgarh,2013,WASHED COAL,SPONGE IRON,2259000
India,28,Andhra Pradesh,2015,RAW COAL,SPONGE IRON,122000
India,22,Chhattisgarh,2014,RAW COAL,CEMENT,1418000
India,28,Andhra Pradesh,2016,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),125000
India,22,Chhattisgarh,2014,RAW COAL,SPONGE IRON,5934000
India,28,Andhra Pradesh,2017,RAW COAL,PULP & PAPER,78000
India,22,Chhattisgarh,2014,RAW COAL,STEEL (BOILERS),375000
India,28,Andhra Pradesh,2017,WASHED COAL,METALLURGICAL USE- DIRECT FEED,372000
India,22,Chhattisgarh,2016,RAW COAL,POWER (CAPTIVE),2618000
India,28,Andhra Pradesh,2018,RAW COAL,CHEMICAL,72000
India,22,Chhattisgarh,2016,RAW COAL,POWER (UTILITY),48665000
India,28,Andhra Pradesh,2018,RAW COAL,POWER (UTILITY),31604000
India,22,Chhattisgarh,2018,RAW COAL,SPONGE IRON,3533000
India,28,Andhra Pradesh,2019,RAW COAL,CEMENT,383000
India,22,Chhattisgarh,2020,RAW COAL,OTHER,5194000
India,29,Karnataka,2011,RAW COAL,PULP & PAPER,277000
India,22,Chhattisgarh,2020,WASHED COAL,METALLURGICAL USE- DIRECT FEED,118000
India,29,Karnataka,2013,RAW COAL,POWER (UTILITY),6856000
India,23,Madhya Pradesh,2011,RAW COAL,PULP & PAPER,227000
India,29,Karnataka,2016,RAW COAL,PULP & PAPER,120000
India,23,Madhya Pradesh,2011,RAW COAL,TEXTILES & RAYONS,59000
India,29,Karnataka,2017,RAW COAL,SPONGE IRON,16000
India,23,Madhya Pradesh,2012,RAW COAL,CHEMICAL,13000
India,29,Karnataka,2019,RAW COAL,TEXTILES & RAYONS,74000
India,23,Madhya Pradesh,2012,RAW COAL,POWER (CAPTIVE),3015000
India,29,Karnataka,2020,RAW COAL,OTHER,33000
India,23,Madhya Pradesh,2013,RAW COAL,CEMENT,1792000
India,29,Karnataka,2020,RAW COAL,SPONGE IRON,12000
India,23,Madhya Pradesh,2014,WASHED COAL,CEMENT,109000
India,30,Goa,2014,RAW COAL,POWER (CAPTIVE),6000
India,23,Madhya Pradesh,2016,RAW COAL,METALLURGICAL USE- DIRECT FEED,154000
India,32,Kerala,2015,RAW COAL,OTHER,27000
India,23,Madhya Pradesh,2017,RAW COAL,POWER (UTILITY),37128000
India,33,Tamil Nadu,2011,RAW COAL,POWER (CAPTIVE),488000
India,23,Madhya Pradesh,2017,RAW COAL,TEXTILES & RAYONS,17000
India,33,Tamil Nadu,2012,LIGNITE,BRICKS,14000
India,23,Madhya Pradesh,2018,RAW COAL,METALLURGICAL USE- DIRECT FEED,87000
India,33,Tamil Nadu,2012,LIGNITE,PULP & PAPER,52000
India,23,Madhya Pradesh,2019,RAW COAL,OTHER,3725000
India,33,Tamil Nadu,2012,RAW COAL,OTHER,53000
India,23,Madhya Pradesh,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,1000
India,33,Tamil Nadu,2013,LIGNITE,CEMENT,668000
India,24,Gujarat,2011,LIGNITE,CHEMICAL,1106000
India,33,Tamil Nadu,2013,RAW COAL,OTHER,43000
India,24,Gujarat,2011,LIGNITE,OTHER,1965000
India,33,Tamil Nadu,2013,RAW COAL,SPONGE IRON,11000
India,24,Gujarat,2011,RAW COAL,PULP & PAPER,4000
India,33,Tamil Nadu,2014,LIGNITE,CEMENT,995000
India,24,Gujarat,2012,LIGNITE,CEMENT,340000
India,33,Tamil Nadu,2014,RAW COAL,OTHER,31000
India,24,Gujarat,2012,RAW COAL,CEMENT,104000
India,33,Tamil Nadu,2015,RAW COAL,PULP & PAPER,12000
India,24,Gujarat,2013,RAW COAL,POWER (CAPTIVE),447000
India,33,Tamil Nadu,2016,LIGNITE,BRICKS,8000
India,24,Gujarat,2014,LIGNITE,CEMENT,320000
India,33,Tamil Nadu,2016,RAW COAL,PULP & PAPER,20000
India,24,Gujarat,2014,LIGNITE,CHEMICAL,148000
India,33,Tamil Nadu,2017,LIGNITE,OTHER,39000
India,24,Gujarat,2014,RAW COAL,CHEMICAL,52000
India,33,Tamil Nadu,2018,LIGNITE,FERTILISERS,0
India,24,Gujarat,2014,RAW COAL,OTHER,294000
India,33,Tamil Nadu,2018,LIGNITE,POWER (UTILITY),21861000
India,24,Gujarat,2014,RAW COAL,TEXTILES & RAYONS,28000
India,33,Tamil Nadu,2019,LIGNITE,POWER (UTILITY),21582000
India,24,Gujarat,2016,LIGNITE,POWER (UTILITY),6292000
India,33,Tamil Nadu,2019,LIGNITE,STEEL (BOILERS),94000
India,24,Gujarat,2017,LIGNITE,CEMENT,190000
India,33,Tamil Nadu,2020,LIGNITE,PULP & PAPER,108000
India,24,Gujarat,2017,LIGNITE,TEXTILES & RAYONS,1292000
India,36,Telangana,2011,RAW COAL,POWER (CAPTIVE),1328335.367
India,24,Gujarat,2017,RAW COAL,POWER (UTILITY),12763000
India,36,Telangana,2011,WASHED COAL,TEXTILES & RAYONS,6319.763865
India,24,Gujarat,2019,LIGNITE,OTHER,959000
India,36,Telangana,2012,RAW COAL,OTHER,1274617.375
India,24,Gujarat,2019,LIGNITE,PULP & PAPER,463000
India,36,Telangana,2014,RAW COAL,BRICKS,9084.660557
India,24,Gujarat,2019,RAW COAL,FERTILISERS,478000
India,36,Telangana,2015,RAW COAL,BRICKS,10000
India,24,Gujarat,2019,RAW COAL,POWER (CAPTIVE),470000
India,36,Telangana,2015,RAW COAL,POWER (CAPTIVE),1452000
India,24,Gujarat,2020,LIGNITE,FERTILISERS,2000
India,36,Telangana,2015,RAW COAL,POWER (UTILITY),26699000
India,27,Maharashtra,2012,RAW COAL,SPONGE IRON,855000
India,36,Telangana,2016,RAW COAL,CHEMICAL,173000
India,27,Maharashtra,2014,RAW COAL,SPONGE IRON,657000
India,36,Telangana,2016,RAW COAL,OTHER,2551000
India,27,Maharashtra,2015,RAW COAL,CEMENT,1669000
India,36,Telangana,2017,RAW COAL,SPONGE IRON,79000
India,27,Maharashtra,2015,RAW COAL,PULP & PAPER,275000
India,36,Telangana,2018,RAW COAL,CEMENT,1443000
India,27,Maharashtra,2016,RAW COAL,CEMENT,1624000
India,36,Telangana,2018,RAW COAL,TEXTILES & RAYONS,20000
India,27,Maharashtra,2017,RAW COAL,CHEMICAL,31000
India,36,Telangana,2019,RAW COAL,POWER (CAPTIVE),1677000
India,27,Maharashtra,2018,RAW COAL,CEMENT,1841000
India,36,Telangana,2019,RAW COAL,POWER (UTILITY),31867000
India,27,Maharashtra,2018,WASHED COAL,POWER (UTILITY),83000
India,36,Telangana,2020,RAW COAL,OTHER,1762000
India,27,Maharashtra,2019,RAW COAL,OTHER,4795000
India,36,Telangana,2020,RAW COAL,POWER (CAPTIVE),31290000
India,27,Maharashtra,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,3000
India,36,Telangana,2020,RAW COAL,TEXTILES & RAYONS,12000
India,27,Maharashtra,2020,RAW COAL,SPONGE IRON,520000
India,1,Jammu And Kashmir,2012,RAW COAL,TEXTILES & RAYONS,1000
India,28,Andhra Pradesh,2012,RAW COAL,BRICKS,30855.75268
India,3,Punjab,2011,RAW COAL,FERTILISERS,1111000
India,28,Andhra Pradesh,2012,RAW COAL,PULP & PAPER,526967.8546
India,3,Punjab,2013,RAW COAL,CEMENT,4000
India,28,Andhra Pradesh,2013,RAW COAL,TEXTILES & RAYONS,10285.25089
India,3,Punjab,2016,RAW COAL,POWER (UTILITY),11786000
India,28,Andhra Pradesh,2014,RAW COAL,CEMENT,2209513.898
India,3,Punjab,2019,LIGNITE,CEMENT,305000
India,28,Andhra Pradesh,2015,RAW COAL,OTHER,1995000
India,3,Punjab,2020,RAW COAL,FERTILISERS,608000
