Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,9,Uttar Pradesh,2011,RAW COAL,CEMENT,169000
India,33,Tamil Nadu,2018,LIGNITE,CEMENT,227000
India,9,Uttar Pradesh,2011,RAW COAL,OTHER,5683000
India,33,Tamil Nadu,2019,LIGNITE,OTHER,99000
India,9,Uttar Pradesh,2011,WASHED COAL,POWER (UTILITY),6974000
India,33,Tamil Nadu,2019,LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),4000
India,9,Uttar Pradesh,2012,RAW COAL,FERTILISERS,293000
India,33,Tamil Nadu,2019,RAW COAL,CEMENT,96000
India,9,Uttar Pradesh,2012,RAW COAL,POWER (CAPTIVE),3797000
India,36,Telangana,2011,RAW COAL,CHEMICAL,109410.9119
India,9,Uttar Pradesh,2012,WASHED COAL,POWER (UTILITY),6361000
India,36,Telangana,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,43053.39133
India,9,Uttar Pradesh,2013,MIDDLINGS,POWER (UTILITY),429000
India,36,Telangana,2012,RAW COAL,SPONGE IRON,305718.577
India,9,Uttar Pradesh,2014,RAW COAL,SPONGE IRON,100000
India,36,Telangana,2014,RAW COAL,PULP & PAPER,389455.4482
India,9,Uttar Pradesh,2015,RAW COAL,OTHER,4148000
India,36,Telangana,2014,WASHED COAL,POWER (CAPTIVE),165103.831
India,9,Uttar Pradesh,2017,RAW COAL,SPONGE IRON,53000
India,36,Telangana,2016,RAW COAL,BRICKS,8000
India,9,Uttar Pradesh,2019,RAW COAL,POWER (CAPTIVE),4967000
India,36,Telangana,2016,RAW COAL,TEXTILES & RAYONS,19000
India,9,Uttar Pradesh,2020,MIDDLINGS,POWER (CAPTIVE),86000
India,36,Telangana,2017,RAW COAL,CHEMICAL,141000
India,9,Uttar Pradesh,2020,RAW COAL,FERTILISERS,143000
India,36,Telangana,2017,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),84000
India,10,Bihar,2015,RAW COAL,CHEMICAL,9000
India,36,Telangana,2018,RAW COAL,POWER (UTILITY),33442000
India,10,Bihar,2016,RAW COAL,METALLURGICAL USE- COKERIES,18000
India,36,Telangana,2019,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),113000
India,10,Bihar,2017,RAW COAL,OTHER,524000
India,36,Telangana,2019,RAW COAL,PULP & PAPER,783000
India,10,Bihar,2017,RAW COAL,POWER (UTILITY),17156000
India,36,Telangana,2019,RAW COAL,SPONGE IRON,192000
India,10,Bihar,2018,WASHED COAL,POWER (UTILITY),280000
India,37,Ladakh,2011,RAW COAL,CEMENT,0
India,12,Arunachal Pradesh,2013,RAW COAL,OTHER,58000
India,37,Ladakh,2012,RAW COAL,BRICKS,0
India,17,Meghalaya,2014,RAW COAL,OTHER,5732000
India,37,Ladakh,2012,RAW COAL,OTHER,0
India,17,Meghalaya,2017,RAW COAL,OTHER,2310000
India,37,Ladakh,2018,RAW COAL,CEMENT,512.6479088
India,18,Assam,2011,RAW COAL,CEMENT,29000
India,37,Ladakh,2019,RAW COAL,CEMENT,0
India,18,Assam,2011,RAW COAL,OTHER,18000
India,1,Jammu And Kashmir,2012,RAW COAL,CEMENT,30000
India,18,Assam,2011,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),97000
India,1,Jammu And Kashmir,2015,RAW COAL,TEXTILES & RAYONS,1000
India,18,Assam,2012,RAW COAL,OTHER,93000
India,2,Himachal Pradesh,2011,RAW COAL,POWER (CAPTIVE),74000
India,18,Assam,2014,RAW COAL,OTHER,56000
India,2,Himachal Pradesh,2012,RAW COAL,POWER (UTILITY),70000
India,18,Assam,2017,RAW COAL,POWER (CAPTIVE),7000
India,3,Punjab,2011,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),246000
India,18,Assam,2018,RAW COAL,CEMENT,27000
India,3,Punjab,2012,RAW COAL,POWER (CAPTIVE),118000
India,18,Assam,2018,WASHED COAL,POWER (UTILITY),29000
India,3,Punjab,2013,RAW COAL,OTHER,267000
India,18,Assam,2020,RAW COAL,POWER (CAPTIVE),1997000
India,3,Punjab,2014,RAW COAL,POWER (UTILITY),5159000
India,19,West Bengal,2011,MIDDLINGS,METALLURGICAL USE- COKERIES,214000
India,3,Punjab,2018,RAW COAL,POWER (CAPTIVE),200000
India,19,West Bengal,2011,RAW COAL,CEMENT,6000
India,3,Punjab,2019,RAW COAL,OTHER,98000
India,19,West Bengal,2011,RAW COAL,COLLIERY OWN - CONSUMPTION,125000
India,5,Uttarakhand,2011,RAW COAL,OTHER,344000
India,19,West Bengal,2013,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),77000
India,5,Uttarakhand,2015,RAW COAL,OTHER,150000
India,19,West Bengal,2013,RAW COAL,STEEL (BOILERS),412000
India,5,Uttarakhand,2016,RAW COAL,POWER (CAPTIVE),502000
India,19,West Bengal,2013,RAW COAL,TEXTILES & RAYONS,5000
India,5,Uttarakhand,2017,RAW COAL,POWER (CAPTIVE),357000
India,19,West Bengal,2014,RAW COAL,BRICKS,17000
India,5,Uttarakhand,2018,RAW COAL,OTHER,112000
India,19,West Bengal,2014,RAW COAL,OTHER,3036000
India,5,Uttarakhand,2018,RAW COAL,POWER (CAPTIVE),198000
India,19,West Bengal,2015,RAW COAL,BRICKS,29000
India,5,Uttarakhand,2020,RAW COAL,OTHER,317000
India,19,West Bengal,2015,RAW COAL,CHEMICAL,15000
India,6,Haryana,2011,RAW COAL,OTHER,78000
India,19,West Bengal,2018,MIDDLINGS,POWER (CAPTIVE),266000
India,6,Haryana,2011,RAW COAL,POWER (UTILITY),12270000
India,19,West Bengal,2018,MIDDLINGS,STEEL (BOILERS),235000
India,6,Haryana,2013,MIDDLINGS,POWER (UTILITY),104000
India,19,West Bengal,2018,RAW COAL,CHEMICAL,3000
India,6,Haryana,2013,RAW COAL,POWER (CAPTIVE),4000
India,19,West Bengal,2018,RAW COAL,OTHER,2574000
India,7,Delhi,2013,WASHED COAL,POWER (UTILITY),998000
India,19,West Bengal,2018,WASHED COAL,METALLURGICAL USE- DIRECT FEED,102000
India,7,Delhi,2015,RAW COAL,CEMENT,30000
India,19,West Bengal,2019,MIDDLINGS,POWER (UTILITY),14000
India,7,Delhi,2015,WASHED COAL,POWER (UTILITY),822000
India,19,West Bengal,2019,RAW COAL,CEMENT,3000
India,7,Delhi,2016,WASHED COAL,POWER (UTILITY),42000
India,19,West Bengal,2019,RAW COAL,COLLIERY OWN - CONSUMPTION,184000
India,8,Rajasthan,2011,RAW COAL,CEMENT,722000
India,19,West Bengal,2019,RAW COAL,METALLURGICAL USE- DIRECT FEED,299000
India,8,Rajasthan,2012,LIGNITE,FERTILISERS,2000
India,19,West Bengal,2019,WASHED COAL,METALLURGICAL USE- COKERIES,614000
India,8,Rajasthan,2012,RAW COAL,FERTILISERS,342000
India,19,West Bengal,2020,MIDDLINGS,POWER (CAPTIVE),604000
India,8,Rajasthan,2013,RAW COAL,TEXTILES & RAYONS,46000
India,19,West Bengal,2020,RAW COAL,SPONGE IRON,640000
India,8,Rajasthan,2014,LIGNITE,POWER (UTILITY),5253000
India,20,Jharkhand,2011,MIDDLINGS,OTHER,118000
India,8,Rajasthan,2014,RAW COAL,FERTILISERS,275000
India,20,Jharkhand,2011,MIDDLINGS,POWER (CAPTIVE),110000
India,8,Rajasthan,2015,RAW COAL,CEMENT,603000
India,20,Jharkhand,2011,RAW COAL,BRICKS,159000
India,8,Rajasthan,2016,RAW COAL,TEXTILES & RAYONS,19000
India,20,Jharkhand,2011,RAW COAL,POWER (UTILITY),14456000
India,8,Rajasthan,2017,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),134000
India,20,Jharkhand,2011,WASHED COAL,POWER (CAPTIVE),30000
India,8,Rajasthan,2018,RAW COAL,CEMENT,184000
India,20,Jharkhand,2012,MIDDLINGS,POWER (CAPTIVE),3043000
India,8,Rajasthan,2020,RAW COAL,POWER (CAPTIVE),15391000
India,20,Jharkhand,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,221000
India,9,Uttar Pradesh,2011,MIDDLINGS,POWER (UTILITY),249000
India,20,Jharkhand,2013,WASHED COAL,POWER (CAPTIVE),310000
India,9,Uttar Pradesh,2011,RAW COAL,POWER (CAPTIVE),3871000
India,20,Jharkhand,2014,RAW COAL,CEMENT,9000
India,9,Uttar Pradesh,2011,RAW COAL,SPONGE IRON,177000
India,20,Jharkhand,2014,RAW COAL,SPONGE IRON,1436000
India,9,Uttar Pradesh,2013,RAW COAL,METALLURGICAL USE- COKERIES,90000
India,20,Jharkhand,2015,RAW COAL,OTHER,7162000
India,9,Uttar Pradesh,2013,RAW COAL,SPONGE IRON,124000
India,20,Jharkhand,2015,RAW COAL,SPONGE IRON,1295000
India,9,Uttar Pradesh,2014,MIDDLINGS,POWER (UTILITY),355000
India,20,Jharkhand,2015,WASHED COAL,METALLURGICAL USE- COKERIES,2426000
India,9,Uttar Pradesh,2015,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),257000
India,20,Jharkhand,2017,MIDDLINGS,POWER (CAPTIVE),1355000
India,9,Uttar Pradesh,2017,RAW COAL,CHEMICAL,13000
India,20,Jharkhand,2017,RAW COAL,CEMENT,36000
India,9,Uttar Pradesh,2017,RAW COAL,PULP & PAPER,1000
India,20,Jharkhand,2017,RAW COAL,METALLURGICAL USE- DIRECT FEED,51000
India,9,Uttar Pradesh,2018,RAW COAL,SPONGE IRON,107000
India,20,Jharkhand,2017,RAW COAL,POWER (UTILITY),15250000
India,9,Uttar Pradesh,2019,RAW COAL,POWER (UTILITY),71776000
India,20,Jharkhand,2017,WASHED COAL,METALLURGICAL USE- COKERIES,1940000
India,10,Bihar,2012,RAW COAL,CHEMICAL,8000
India,20,Jharkhand,2018,RAW COAL,STEEL (BOILERS),296000
India,10,Bihar,2012,RAW COAL,POWER (UTILITY),10126000
India,20,Jharkhand,2018,WASHED COAL,METALLURGICAL USE- COKERIES,1597000
India,10,Bihar,2017,RAW COAL,CHEMICAL,7000
India,20,Jharkhand,2018,WASHED COAL,POWER (CAPTIVE),102000
India,10,Bihar,2018,RAW COAL,OTHER,669000
India,20,Jharkhand,2019,RAW COAL,METALLURGICAL USE- DIRECT FEED,219000
India,10,Bihar,2019,MIDDLINGS,POWER (UTILITY),5000
India,20,Jharkhand,2019,WASHED COAL,OTHER,237000
India,10,Bihar,2020,RAW COAL,OTHER,641000
India,20,Jharkhand,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,15000
India,18,Assam,2013,RAW COAL,CEMENT,26000
India,20,Jharkhand,2020,RAW COAL,STEEL (BOILERS),234000
India,18,Assam,2015,RAW COAL,CEMENT,18000
India,21,Odisha,2011,RAW COAL,FERTILISERS,30000
India,18,Assam,2019,RAW COAL,POWER (CAPTIVE),10000
India,21,Odisha,2011,RAW COAL,PULP & PAPER,148000
India,19,West Bengal,2011,RAW COAL,CHEMICAL,37000
India,21,Odisha,2011,RAW COAL,STEEL (BOILERS),205000
India,19,West Bengal,2012,WASHED COAL,POWER (UTILITY),1966000
India,21,Odisha,2011,WASHED COAL,METALLURGICAL USE- COKERIES,496000
India,19,West Bengal,2013,MIDDLINGS,POWER (UTILITY),345000
India,21,Odisha,2012,RAW COAL,POWER (UTILITY),21761000
India,19,West Bengal,2013,RAW COAL,CHEMICAL,14000
India,21,Odisha,2013,RAW COAL,POWER (CAPTIVE),14198000
India,19,West Bengal,2013,RAW COAL,PULP & PAPER,85000
India,21,Odisha,2013,RAW COAL,STEEL (BOILERS),52000
India,19,West Bengal,2014,RAW COAL,CEMENT,24000
India,21,Odisha,2013,WASHED COAL,POWER (UTILITY),372000
India,19,West Bengal,2014,RAW COAL,STEEL (BOILERS),347000
India,21,Odisha,2014,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),480000
India,19,West Bengal,2016,RAW COAL,METALLURGICAL USE- COKERIES,23000
India,21,Odisha,2014,RAW COAL,POWER (UTILITY),25671000
India,19,West Bengal,2017,MIDDLINGS,POWER (CAPTIVE),672000
India,21,Odisha,2014,WASHED COAL,METALLURGICAL USE- COKERIES,493000
India,19,West Bengal,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,204000
India,21,Odisha,2015,RAW COAL,OTHER,14991000
India,19,West Bengal,2017,RAW COAL,METALLURGICAL USE- COKERIES,20000
India,21,Odisha,2015,RAW COAL,SPONGE IRON,2750000
India,19,West Bengal,2018,RAW COAL,PULP & PAPER,38000
India,21,Odisha,2016,RAW COAL,CHEMICAL,7000
India,19,West Bengal,2019,RAW COAL,POWER (CAPTIVE),446000
India,21,Odisha,2018,RAW COAL,METALLURGICAL USE- DIRECT FEED,121000
India,20,Jharkhand,2011,RAW COAL,CEMENT,75000
India,21,Odisha,2019,RAW COAL,METALLURGICAL USE- DIRECT FEED,243000
India,20,Jharkhand,2011,RAW COAL,CHEMICAL,24000
India,21,Odisha,2019,RAW COAL,PULP & PAPER,117000
India,20,Jharkhand,2012,RAW COAL,CHEMICAL,5000
India,21,Odisha,2019,RAW COAL,SPONGE IRON,3425000
India,20,Jharkhand,2012,RAW COAL,POWER (UTILITY),8569000
India,21,Odisha,2020,RAW COAL,FERTILISERS,20000
India,20,Jharkhand,2012,RAW COAL,SPONGE IRON,1312000
India,21,Odisha,2020,RAW COAL,METALLURGICAL USE- DIRECT FEED,79000
India,20,Jharkhand,2012,WASHED COAL,METALLURGICAL USE- COKERIES,2556000
India,21,Odisha,2020,WASHED COAL,POWER (CAPTIVE),89000
India,20,Jharkhand,2014,MIDDLINGS,OTHER,1000
India,22,Chhattisgarh,2011,RAW COAL,COLLIERY OWN - CONSUMPTION,7000
India,20,Jharkhand,2016,MIDDLINGS,POWER (CAPTIVE),1106000
India,22,Chhattisgarh,2011,RAW COAL,STEEL (BOILERS),592000
India,20,Jharkhand,2016,RAW COAL,METALLURGICAL USE- COKERIES,904000
India,22,Chhattisgarh,2012,RAW COAL,CEMENT,948000
India,20,Jharkhand,2017,MIDDLINGS,POWER (UTILITY),1629000
India,22,Chhattisgarh,2012,RAW COAL,OTHER,9552000
India,20,Jharkhand,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,49000
India,22,Chhattisgarh,2012,RAW COAL,POWER (CAPTIVE),11463000
India,20,Jharkhand,2017,WASHED COAL,POWER (CAPTIVE),380000
India,22,Chhattisgarh,2012,WASHED COAL,POWER (UTILITY),549000
India,20,Jharkhand,2018,RAW COAL,BRICKS,104000
India,22,Chhattisgarh,2013,MIDDLINGS,POWER (CAPTIVE),4816000
India,20,Jharkhand,2018,RAW COAL,METALLURGICAL USE- DIRECT FEED,745000
India,22,Chhattisgarh,2013,RAW COAL,POWER (UTILITY),38226000
India,20,Jharkhand,2018,WASHED COAL,POWER (UTILITY),746000
India,22,Chhattisgarh,2014,WASHED COAL,POWER (CAPTIVE),1642000
India,20,Jharkhand,2019,WASHED COAL,METALLURGICAL USE- COKERIES,1657000
India,22,Chhattisgarh,2014,WASHED COAL,SPONGE IRON,2358000
India,20,Jharkhand,2020,RAW COAL,SPONGE IRON,525000
India,22,Chhattisgarh,2015,RAW COAL,METALLURGICAL USE- DIRECT FEED,102000
India,21,Odisha,2011,MIDDLINGS,METALLURGICAL USE- COKERIES,101000
India,22,Chhattisgarh,2015,RAW COAL,POWER (CAPTIVE),8686000
India,21,Odisha,2012,RAW COAL,FERTILISERS,26000
India,22,Chhattisgarh,2015,RAW COAL,PULP & PAPER,22000
India,21,Odisha,2012,RAW COAL,PULP & PAPER,140000
India,22,Chhattisgarh,2016,RAW COAL,CEMENT,1606000
India,21,Odisha,2014,RAW COAL,POWER (CAPTIVE),12578000
India,22,Chhattisgarh,2016,RAW COAL,OTHER,196000
India,21,Odisha,2016,RAW COAL,METALLURGICAL USE- DIRECT FEED,100000
India,22,Chhattisgarh,2016,WASHED COAL,METALLURGICAL USE- COKERIES,736000
India,21,Odisha,2016,RAW COAL,POWER (CAPTIVE),15037000
India,22,Chhattisgarh,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,6000
India,21,Odisha,2018,RAW COAL,POWER (UTILITY),32014000
India,22,Chhattisgarh,2018,RAW COAL,COLLIERY OWN - CONSUMPTION,5000
India,21,Odisha,2019,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),714000
India,22,Chhattisgarh,2019,RAW COAL,OTHER,3821000
India,21,Odisha,2020,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),473000
India,22,Chhattisgarh,2019,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),3000
India,22,Chhattisgarh,2011,MIDDLINGS,POWER (CAPTIVE),3061000
India,22,Chhattisgarh,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,10000
India,22,Chhattisgarh,2012,RAW COAL,CHEMICAL,2000
India,23,Madhya Pradesh,2011,MIDDLINGS,POWER (UTILITY),138000
India,22,Chhattisgarh,2012,WASHED COAL,METALLURGICAL USE- COKERIES,462000
India,23,Madhya Pradesh,2011,RAW COAL,CEMENT,1993000
India,22,Chhattisgarh,2012,WASHED COAL,SPONGE IRON,2213000
India,23,Madhya Pradesh,2012,RAW COAL,COLLIERY OWN - CONSUMPTION,11000
India,22,Chhattisgarh,2013,RAW COAL,CEMENT,1468000
India,23,Madhya Pradesh,2012,RAW COAL,OTHER,3437000
India,22,Chhattisgarh,2013,RAW COAL,OTHER,10590000
India,23,Madhya Pradesh,2013,MIDDLINGS,POWER (UTILITY),101000
India,22,Chhattisgarh,2013,WASHED COAL,METALLURGICAL USE- COKERIES,371000
India,23,Madhya Pradesh,2013,RAW COAL,CHEMICAL,12000
India,22,Chhattisgarh,2014,RAW COAL,METALLURGICAL USE- DIRECT FEED,107000
India,23,Madhya Pradesh,2014,MIDDLINGS,POWER (UTILITY),89000
India,22,Chhattisgarh,2015,WASHED COAL,SPONGE IRON,2507000
India,23,Madhya Pradesh,2015,RAW COAL,POWER (CAPTIVE),10327000
India,22,Chhattisgarh,2016,MIDDLINGS,POWER (CAPTIVE),20000
India,23,Madhya Pradesh,2016,RAW COAL,CHEMICAL,21000
India,22,Chhattisgarh,2016,RAW COAL,METALLURGICAL USE- DIRECT FEED,66000
India,23,Madhya Pradesh,2016,RAW COAL,OTHER,3935000
India,22,Chhattisgarh,2018,RAW COAL,OTHER,6755000
India,23,Madhya Pradesh,2017,RAW COAL,CEMENT,694000
India,22,Chhattisgarh,2019,RAW COAL,POWER (UTILITY),67847000
India,23,Madhya Pradesh,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,7000
India,22,Chhattisgarh,2019,RAW COAL,SPONGE IRON,6420000
India,23,Madhya Pradesh,2017,RAW COAL,METALLURGICAL USE- DIRECT FEED,79000
India,22,Chhattisgarh,2020,WASHED COAL,POWER (CAPTIVE),192000
India,23,Madhya Pradesh,2017,RAW COAL,OTHER,3964000
India,23,Madhya Pradesh,2012,RAW COAL,PULP & PAPER,244000
India,23,Madhya Pradesh,2018,RAW COAL,METALLURGICAL USE- COKERIES,11000
India,23,Madhya Pradesh,2013,RAW COAL,METALLURGICAL USE- COKERIES,36000
India,24,Gujarat,2011,RAW COAL,CEMENT,168000
India,23,Madhya Pradesh,2014,RAW COAL,CHEMICAL,19000
India,24,Gujarat,2012,RAW COAL,OTHER,293000
India,23,Madhya Pradesh,2014,RAW COAL,POWER (UTILITY),31727000
India,24,Gujarat,2012,RAW COAL,POWER (UTILITY),18115000
India,23,Madhya Pradesh,2014,WASHED COAL,POWER (UTILITY),218000
India,24,Gujarat,2013,LIGNITE,POWER (UTILITY),7207000
India,23,Madhya Pradesh,2015,RAW COAL,OTHER,2991000
India,24,Gujarat,2013,LIGNITE,PULP & PAPER,667000
India,23,Madhya Pradesh,2015,RAW COAL,POWER (UTILITY),36501000
India,24,Gujarat,2013,LIGNITE,TEXTILES & RAYONS,3401000
India,23,Madhya Pradesh,2016,RAW COAL,CEMENT,946000
India,24,Gujarat,2013,RAW COAL,PULP & PAPER,4000
India,23,Madhya Pradesh,2016,RAW COAL,SPONGE IRON,60000
India,24,Gujarat,2013,RAW COAL,TEXTILES & RAYONS,22000
India,23,Madhya Pradesh,2016,RAW COAL,TEXTILES & RAYONS,37000
India,24,Gujarat,2014,LIGNITE,BRICKS,993000
India,23,Madhya Pradesh,2017,MIDDLINGS,POWER (UTILITY),34000
India,24,Gujarat,2014,RAW COAL,FERTILISERS,596000
India,23,Madhya Pradesh,2017,RAW COAL,CHEMICAL,30000
India,24,Gujarat,2015,RAW COAL,POWER (UTILITY),19617000
India,23,Madhya Pradesh,2018,RAW COAL,CEMENT,1020000
India,24,Gujarat,2016,LIGNITE,OTHER,1009000
India,23,Madhya Pradesh,2018,RAW COAL,CHEMICAL,66000
India,24,Gujarat,2016,RAW COAL,TEXTILES & RAYONS,28000
India,23,Madhya Pradesh,2019,MIDDLINGS,POWER (UTILITY),37000
India,24,Gujarat,2018,RAW COAL,FERTILISERS,548000
India,23,Madhya Pradesh,2019,RAW COAL,POWER (UTILITY),56377000
India,24,Gujarat,2019,LIGNITE,BRICKS,623000
India,23,Madhya Pradesh,2020,RAW COAL,POWER (CAPTIVE),77563000
India,24,Gujarat,2019,LIGNITE,TEXTILES & RAYONS,2557000
India,24,Gujarat,2012,LIGNITE,TEXTILES & RAYONS,3536000
India,24,Gujarat,2019,RAW COAL,TEXTILES & RAYONS,26000
India,24,Gujarat,2012,RAW COAL,POWER (CAPTIVE),453000
India,24,Gujarat,2020,LIGNITE,SPONGE IRON,14000
India,24,Gujarat,2013,RAW COAL,CHEMICAL,59000
India,24,Gujarat,2020,RAW COAL,OTHER,1168000
India,24,Gujarat,2013,RAW COAL,POWER (UTILITY),19732000
India,24,Gujarat,2020,RAW COAL,POWER (CAPTIVE),16169000
India,24,Gujarat,2014,LIGNITE,FERTILISERS,3000
India,27,Maharashtra,2011,RAW COAL,CHEMICAL,31000
India,24,Gujarat,2014,LIGNITE,OTHER,2226000
India,27,Maharashtra,2013,RAW COAL,OTHER,5140000
India,24,Gujarat,2014,RAW COAL,CEMENT,86000
India,27,Maharashtra,2014,RAW COAL,PULP & PAPER,135000
India,24,Gujarat,2015,LIGNITE,CHEMICAL,326000
India,27,Maharashtra,2016,RAW COAL,COLLIERY OWN - CONSUMPTION,2000
India,24,Gujarat,2016,LIGNITE,FERTILISERS,3000
India,27,Maharashtra,2017,RAW COAL,CEMENT,1181000
India,24,Gujarat,2016,LIGNITE,TEXTILES & RAYONS,1723000
India,27,Maharashtra,2019,RAW COAL,CEMENT,2061000
India,24,Gujarat,2016,RAW COAL,FERTILISERS,766000
India,27,Maharashtra,2020,RAW COAL,TEXTILES & RAYONS,21000
India,24,Gujarat,2017,RAW COAL,CHEMICAL,30000
India,27,Maharashtra,2020,WASHED COAL,POWER (CAPTIVE),32000
India,24,Gujarat,2018,LIGNITE,CEMENT,602000
India,28,Andhra Pradesh,2011,RAW COAL,BRICKS,66551.62343
India,24,Gujarat,2018,LIGNITE,TEXTILES & RAYONS,2452000
India,28,Andhra Pradesh,2013,RAW COAL,BRICKS,3630.08855
India,24,Gujarat,2019,LIGNITE,FERTILISERS,1000
India,28,Andhra Pradesh,2013,RAW COAL,METALLURGICAL USE- COKERIES,45981.12164
India,24,Gujarat,2019,RAW COAL,PULP & PAPER,40000
India,28,Andhra Pradesh,2013,RAW COAL,POWER (CAPTIVE),2113921.566
India,27,Maharashtra,2011,RAW COAL,CEMENT,1817000
India,28,Andhra Pradesh,2013,RAW COAL,SPONGE IRON,369664.0174
India,27,Maharashtra,2012,RAW COAL,POWER (CAPTIVE),692000
India,28,Andhra Pradesh,2016,RAW COAL,BRICKS,5000
India,27,Maharashtra,2012,RAW COAL,POWER (UTILITY),32345000
India,28,Andhra Pradesh,2016,RAW COAL,OTHER,675000
India,27,Maharashtra,2013,RAW COAL,POWER (CAPTIVE),983000
India,28,Andhra Pradesh,2017,RAW COAL,POWER (CAPTIVE),1696000
India,27,Maharashtra,2014,RAW COAL,TEXTILES & RAYONS,33000
India,28,Andhra Pradesh,2020,RAW COAL,OTHER,621000
India,27,Maharashtra,2015,RAW COAL,POWER (UTILITY),46147000
India,28,Andhra Pradesh,2020,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),22000
India,27,Maharashtra,2015,RAW COAL,SPONGE IRON,675000
India,29,Karnataka,2011,RAW COAL,POWER (UTILITY),7667000
India,27,Maharashtra,2016,RAW COAL,POWER (UTILITY),53709000
India,29,Karnataka,2011,RAW COAL,SPONGE IRON,694000
India,27,Maharashtra,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,4000
India,29,Karnataka,2012,RAW COAL,POWER (UTILITY),6393000
India,27,Maharashtra,2017,RAW COAL,POWER (CAPTIVE),206000
India,29,Karnataka,2012,RAW COAL,PULP & PAPER,248000
India,27,Maharashtra,2017,RAW COAL,PULP & PAPER,145000
India,29,Karnataka,2013,RAW COAL,CHEMICAL,6000
India,27,Maharashtra,2020,RAW COAL,OTHER,4200000
India,29,Karnataka,2013,RAW COAL,PULP & PAPER,243000
India,28,Andhra Pradesh,2011,RAW COAL,POWER (UTILITY),22489608.6
India,29,Karnataka,2014,RAW COAL,CEMENT,1706000
India,28,Andhra Pradesh,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,65946.60867
India,29,Karnataka,2015,RAW COAL,CEMENT,112000
India,28,Andhra Pradesh,2013,RAW COAL,CHEMICAL,120397.9369
India,29,Karnataka,2015,RAW COAL,PULP & PAPER,206000
India,28,Andhra Pradesh,2013,RAW COAL,OTHER,1704326.574
India,29,Karnataka,2017,RAW COAL,CHEMICAL,8000
India,28,Andhra Pradesh,2015,RAW COAL,POWER (UTILITY),22109000
India,29,Karnataka,2017,RAW COAL,POWER (CAPTIVE),604000
India,28,Andhra Pradesh,2016,RAW COAL,PULP & PAPER,72000
India,29,Karnataka,2017,RAW COAL,POWER (UTILITY),11988000
India,28,Andhra Pradesh,2017,RAW COAL,CHEMICAL,45000
India,29,Karnataka,2017,RAW COAL,TEXTILES & RAYONS,130000
India,28,Andhra Pradesh,2017,RAW COAL,POWER (UTILITY),32195000
India,29,Karnataka,2018,RAW COAL,CHEMICAL,9000
India,28,Andhra Pradesh,2018,RAW COAL,POWER (CAPTIVE),2033000
India,29,Karnataka,2018,RAW COAL,PULP & PAPER,23000
India,28,Andhra Pradesh,2019,RAW COAL,CHEMICAL,96000
India,29,Karnataka,2019,RAW COAL,POWER (CAPTIVE),1357000
India,28,Andhra Pradesh,2020,RAW COAL,SPONGE IRON,35000
India,32,Kerala,2011,RAW COAL,CEMENT,34000
India,29,Karnataka,2011,RAW COAL,BRICKS,4000
India,32,Kerala,2011,RAW COAL,PULP & PAPER,179000
India,29,Karnataka,2013,RAW COAL,OTHER,114000
India,32,Kerala,2016,RAW COAL,PULP & PAPER,46000
India,29,Karnataka,2014,RAW COAL,OTHER,100000
India,32,Kerala,2017,RAW COAL,POWER (CAPTIVE),18000
India,29,Karnataka,2014,RAW COAL,TEXTILES & RAYONS,203000
India,33,Tamil Nadu,2011,LIGNITE,CEMENT,242000
India,29,Karnataka,2015,RAW COAL,POWER (UTILITY),9359000
India,33,Tamil Nadu,2011,LIGNITE,CHEMICAL,2000
India,29,Karnataka,2016,RAW COAL,CHEMICAL,8000
India,33,Tamil Nadu,2011,LIGNITE,POWER (UTILITY),22722000
India,29,Karnataka,2018,RAW COAL,CEMENT,900000
India,33,Tamil Nadu,2011,RAW COAL,CEMENT,246000
India,29,Karnataka,2018,RAW COAL,OTHER,135000
India,33,Tamil Nadu,2012,LIGNITE,TEXTILES & RAYONS,1000
India,32,Kerala,2017,RAW COAL,PULP & PAPER,27000
India,33,Tamil Nadu,2012,RAW COAL,PULP & PAPER,23000
